state,year,month,pcp
Alabama,2017,8,6
Alabama,2017,9,3.1
Alabama,2017,10,5.8
Alabama,2017,11,1
Alabama,2017,12,3.8
Alabama,2018,1,2.3
Alabama,2018,2,7.2
Alabama,2018,3,3.9
Alabama,2018,4,6
Arizona,1950,5,0.5
Arizona,1950,6,0.9
Arizona,1950,7,0.4
Arizona,1950,8,0
Arizona,1950,9,0
Arizona,1950,10,0.3
Arizona,1950,11,2.8
Arizona,1950,12,0.8
Arizona,1950,1,0.7
Arizona,1950,2,0
Arizona,1950,3,0.1
Arizona,1950,4,0
Arizona,1951,5,1.3
Arizona,1951,6,0.4
Arizona,1951,7,0.5
Arizona,1951,8,1.4
Arizona,1951,9,0.4
Arizona,1951,10,0
Arizona,1951,11,1.4
Arizona,1951,12,4.2
Arizona,1951,1,0.5
Arizona,1951,2,1.3
Arizona,1951,3,0.9
Arizona,1951,4,1.8
Arizona,1952,5,1.7
Arizona,1952,6,0.3
Arizona,1952,7,2.2
Arizona,1952,8,1.6
Arizona,1952,9,0
Arizona,1952,10,0.6
Arizona,1952,11,1.6
Arizona,1952,12,1.7
Arizona,1952,1,1.2
Arizona,1952,2,0
Arizona,1952,3,1.9
Arizona,1952,4,0.9
Arizona,1953,5,0.2
Arizona,1953,6,0.5
Arizona,1953,7,0.9
Arizona,1953,8,0.5
Arizona,1953,9,0.1
Arizona,1953,10,0.1
Arizona,1953,11,2.9
Arizona,1953,12,1.7
Arizona,1953,1,0
Arizona,1953,2,0.2
Arizona,1953,3,0.3
Arizona,1953,4,0.2
Arizona,1954,5,1.2
Arizona,1954,6,0.5
Arizona,1954,7,2.4
Arizona,1954,8,0
Arizona,1954,9,0.4
Arizona,1954,10,0.5
Arizona,1954,11,2.4
Arizona,1954,12,1.8
Arizona,1954,1,1.3
Arizona,1954,2,0.3
Arizona,1954,3,0.1
Arizona,1954,4,0.3
Arizona,1955,5,1.9
Arizona,1955,6,0.4
Arizona,1955,7,0
Arizona,1955,8,0.1
Arizona,1955,9,0.1
Arizona,1955,10,0.7
Arizona,1955,11,2.9
Arizona,1955,12,3.4
Arizona,1955,1,0
Arizona,1955,2,0.2
Arizona,1955,3,0.5
Arizona,1955,4,0.5
Arizona,1956,5,1
Arizona,1956,6,0.5
Arizona,1956,7,0
Arizona,1956,8,0.3
Arizona,1956,9,0.1
Arizona,1956,10,0.3
Arizona,1956,11,1.8
Arizona,1956,12,1
Arizona,1956,1,0
Arizona,1956,2,0.5
Arizona,1956,3,0
Arizona,1956,4,0.1
Arizona,1957,5,2.8
Arizona,1957,6,0.6
Arizona,1957,7,0.8
Arizona,1957,8,0.5
Arizona,1957,9,0.9
Arizona,1957,10,0.5
Arizona,1957,11,1.7
Arizona,1957,12,2.6
Arizona,1957,1,0
Arizona,1957,2,2.6
Arizona,1957,3,0.9
Arizona,1957,4,0.4
Arizona,1958,5,0.2
Arizona,1958,6,1.7
Arizona,1958,7,2.3
Arizona,1958,8,1
Arizona,1958,9,0.4
Arizona,1958,10,0.3
Arizona,1958,11,1.1
Arizona,1958,12,2.1
Arizona,1958,1,2.5
Arizona,1958,2,0.9
Arizona,1958,3,0.6
Arizona,1958,4,0
Arizona,1959,5,0.2
Arizona,1959,6,1.3
Arizona,1959,7,0
Arizona,1959,8,0.3
Arizona,1959,9,0.1
Arizona,1959,10,0.3
Arizona,1959,11,1.7
Arizona,1959,12,3.1
Arizona,1959,1,0.2
Arizona,1959,2,2
Arizona,1959,3,0.7
Arizona,1959,4,2.7
Arizona,1960,5,1.5
Arizona,1960,6,0.7
Arizona,1960,7,0.4
Arizona,1960,8,0.2
Arizona,1960,9,0.2
Arizona,1960,10,0.1
Arizona,1960,11,0.9
Arizona,1960,12,1.3
Arizona,1960,1,1.1
Arizona,1960,2,1.8
Arizona,1960,3,0.4
Arizona,1960,4,0.6
Arizona,1961,5,0.7
Arizona,1961,6,0.1
Arizona,1961,7,1.2
Arizona,1961,8,0.1
Arizona,1961,9,0
Arizona,1961,10,0.1
Arizona,1961,11,1.6
Arizona,1961,12,2.8
Arizona,1961,1,1.1
Arizona,1961,2,0.9
Arizona,1961,3,0.6
Arizona,1961,4,1.7
Arizona,1962,5,1.4
Arizona,1962,6,1.2
Arizona,1962,7,0.7
Arizona,1962,8,0
Arizona,1962,9,0.1
Arizona,1962,10,0.3
Arizona,1962,11,1
Arizona,1962,12,0.6
Arizona,1962,1,1.9
Arizona,1962,2,0.8
Arizona,1962,3,0.7
Arizona,1962,4,0.9
Arizona,1963,5,0.6
Arizona,1963,6,1.1
Arizona,1963,7,0.6
Arizona,1963,8,0.4
Arizona,1963,9,0
Arizona,1963,10,0
Arizona,1963,11,0.8
Arizona,1963,12,3.8
Arizona,1963,1,1.3
Arizona,1963,2,1.1
Arizona,1963,3,1.2
Arizona,1963,4,0.1
Arizona,1964,5,0.3
Arizona,1964,6,0.1
Arizona,1964,7,1.1
Arizona,1964,8,0.7
Arizona,1964,9,0.1
Arizona,1964,10,0.1
Arizona,1964,11,2.2
Arizona,1964,12,2.4
Arizona,1964,1,1.7
Arizona,1964,2,0.3
Arizona,1964,3,0.8
Arizona,1964,4,0.9
Arizona,1965,5,1.4
Arizona,1965,6,1.2
Arizona,1965,7,1.1
Arizona,1965,8,1.5
Arizona,1965,9,0.6
Arizona,1965,10,0.3
Arizona,1965,11,1.9
Arizona,1965,12,1.3
Arizona,1965,1,1.3
Arizona,1965,2,0.3
Arizona,1965,3,1.7
Arizona,1965,4,4.5
Arizona,1966,5,0.7
