state,year,month,tmin
Arizona,1956,4,26.6
Arizona,1957,5,33.2
Arizona,1957,6,38.6
Arizona,1957,7,38
Arizona,1957,8,41.2
Arizona,1957,9,47.1
Arizona,1957,10,60.1
Arizona,1957,11,66.2
Arizona,1957,12,64.4
Arizona,1957,1,55.6
Arizona,1957,2,47.6
Arizona,1957,3,33.2
Arizona,1957,4,30.8
Arizona,1958,5,27.8
Arizona,1958,6,34.9
Arizona,1958,7,34.3
Arizona,1958,8,40.7
Arizona,1958,9,53.3
Arizona,1958,10,60.4
Arizona,1958,11,64.8
Arizona,1958,12,66.1
Arizona,1958,1,59
Arizona,1958,2,49.3
Arizona,1958,3,35
Arizona,1958,4,29.8
Arizona,1959,5,28.5
Arizona,1959,6,29.8
Arizona,1959,7,34.4
Arizona,1959,8,45
Arizona,1959,9,48.7
Arizona,1959,10,61.8
Arizona,1959,11,67.7
Arizona,1959,12,64.4
Arizona,1959,1,56.2
Arizona,1959,2,46.2
Arizona,1959,3,35.8
Arizona,1959,4,31.7
Arizona,1960,5,24.7
Arizona,1960,6,28.1
Arizona,1960,7,37.9
Arizona,1960,8,42.2
Arizona,1960,9,48.8
Arizona,1960,10,61
Arizona,1960,11,65.8
Arizona,1960,12,64.8
Arizona,1960,1,59.1
Arizona,1960,2,46.3
Arizona,1960,3,36.1
Arizona,1960,4,26.9
Arizona,1961,5,28.7
Arizona,1961,6,32
Arizona,1961,7,35.5
Arizona,1961,8,42.1
Arizona,1961,9,48.6
Arizona,1961,10,61.2
Arizona,1961,11,66.4
Arizona,1961,12,64.5
Arizona,1961,1,55
Arizona,1961,2,44.2
Arizona,1961,3,34.5
Arizona,1961,4,27.6
Arizona,1962,5,26.8
Arizona,1962,6,33.4
Arizona,1962,7,31.4
Arizona,1962,8,45.2
Arizona,1962,9,47.2
Arizona,1962,10,56.2
Arizona,1962,11,64.4
Arizona,1962,12,64.4
Arizona,1962,1,59.7
Arizona,1962,2,47.3
Arizona,1962,3,38.9
Arizona,1962,4,31.3
Arizona,1963,5,24.4
Arizona,1963,6,35.1
Arizona,1963,7,34.2
Arizona,1963,8,39.5
Arizona,1963,9,51.6
Arizona,1963,10,55
Arizona,1963,11,66.7
Arizona,1963,12,64.7
Arizona,1963,1,59.8
Arizona,1963,2,50.1
Arizona,1963,3,37.7
Arizona,1963,4,26.3
Arizona,1964,5,22.9
Arizona,1964,6,23.9
Arizona,1964,7,31.2
Arizona,1964,8,39.8
Arizona,1964,9,48.1
Arizona,1964,10,56.4
Arizona,1964,11,66.9
Arizona,1964,12,63.8
Arizona,1964,1,56.7
Arizona,1964,2,48.9
Arizona,1964,3,32.6
Arizona,1964,4,29.8
Arizona,1965,5,31.3
Arizona,1965,6,29.5
Arizona,1965,7,33.4
Arizona,1965,8,41.1
Arizona,1965,9,46.4
Arizona,1965,10,53
Arizona,1965,11,64.9
Arizona,1965,12,63.3
Arizona,1965,1,54.3
Arizona,1965,2,46.4
Arizona,1965,3,40
Arizona,1965,4,31.8
Arizona,1966,5,25.5
Arizona,1966,6,26.8
